Project,Name,url,franchise
OFM,Alien,https://map.fantasymaps.org/alien,Alien
OFM,Alien - Sol - IX,https://map.fantasymaps.org/alien-sol-ix,Alien
OFM,Blade Runner RPG,https://map.fantasymaps.org/blade_runner,Blade Runner
OFM,Doskvol,https://map.fantasymaps.org/doskvol,Blades in the Dark
OFM,Coriolis,https://map.fantasymaps.org/coriolis,Coriolis
OFM,Coriolis Starship,https://map.fantasymaps.org/coriolis-kua-iv-i,Coriolis
OFM,Cyberpunk 2077,https://map.fantasymaps.org/cyberpunk,Cyberpunk
OFM,Barovia,https://map.fantasymaps.org/barovia2,D&D
OFM,Eberron,https://map.fantasymaps.org/eberron2,D&D
OFM,Krynn,https://map.fantasymaps.org/krynn,D&D
OFM,Realmspace,https://map.fantasymaps.org/flow-realmspace,D&D
OFM,Rock of Bral - Lower side,https://map.fantasymaps.org/rock_of_bral_lower,D&D
OFM,Rock of Bral - Upper side,https://map.fantasymaps.org/rock_of_bral_upper,D&D
OFM,Rock of Bral - Upper side (Open World),https://map.fantasymaps.org/rock_of_bral_upper-openworld,D&D
OFM,Spelljammer Flow,https://map.fantasymaps.org/flow,D&D
OFM,Toril,https://map.fantasymaps.org/toril,D&D
OFM,Toril,https://map.fantasymaps.org/toril_2,D&D
OFM,discworld,https://map.fantasymaps.org/discworld,Discworld
OFM,Dune,https://map.fantasymaps.org/dune,Dune
OFM,dune-arrakis,https://map.fantasymaps.org/dune-arrakis,Dune
OFM,Fallout,https://map.fantasymaps.org/fallout,Fallout
OFM,Bave,https://map.fantasymaps.org/1673286506217,Homebrew
OFM,Bouletland,https://map.fantasymaps.org/1673269691392,Homebrew
OFM,Eisinland,https://map.fantasymaps.org/1673347745872,Homebrew
OFM,Huia,https://map.fantasymaps.org/1673100874758,Homebrew
OFM,Lanerynes,https://map.fantasymaps.org/1673194637669,Homebrew
OFM,Luxastra Adventures,https://map.fantasymaps.org/luxastra,Homebrew
OFM,Middle Earth,https://map.fantasymaps.org/middle-earth,Middle-earth
OFM,Silent Hill,https://map.fantasymaps.org/silent_hill,Silent Hill
OFM,Star Trek Adventures,https://map.fantasymaps.org/sta,Star Trek
OFM,Star Trek Adventures - Bajor,https://map.fantasymaps.org/sta-bajor,Star Trek
OFM,Star Trek Adventures - Sol - III - I (Moon),https://map.fantasymaps.org/sta-sol-iii-i,Star Trek
OFM,Star Trek Adventures - Sol - IV (Mars),https://map.fantasymaps.org/sta-sol-iv,Star Trek
OFM,Star Trek Adventures - Sol - IX (Pluto),https://map.fantasymaps.org/sta-sol-ix,Star Trek
OFM,Star Trek Adventures - Sol star system,https://map.fantasymaps.org/sta-sol,Star Trek
OFM,Star Trek Adventures - Wolf 359,https://map.fantasymaps.org/sta-wolf%20359,Star Trek
OFM,Starfleet - Deep Space 9,https://map.fantasymaps.org/starfleet-ds9,Star Trek
OFM,Starfleet - Defiant Class,https://map.fantasymaps.org/starfleet-defiant,Star Trek
OFM,Starfleet - NX Class,https://map.fantasymaps.org/starfleet-nx,Star Trek
OFM,Star Wars Galaxy,https://map.fantasymaps.org/sw,Star Wars
OFM,edworld,https://map.fantasymaps.org/test_edway,Test
OFM,Valheim - Seed Xc2ACXKUBU,https://map.fantasymaps.org/vh_Xc2ACXKUBU,Valheim
OFM,Warhammer 40K,https://map.fantasymaps.org/wh4k,Warhammer
OFM,Zelda Breath of the Wild,https://map.fantasymaps.org/zelda-botw,Zelda
